0,hellp,christophermoret@gmail.com,,
1,hellp,christophermoret@gmail.com,,
2,hellp,christophermoret@gmail.com,,
3,a,sss@gmail.com,,
4,a,sss@gmail.com,,
5;a;sss@gmail.com;;
6;a;sss@gmail.com;;
7;a;sss@gmail.com;;
8;a;sss@gmail.com;;
9;a;sss@gmail.com;;
10;a;sss@gmail.com;asdf;sdf
11;Chris;chris@gmail.com;Test;"C'est bon!"
12;Chris;chris@gmail.com;Test;"C'est bon!"
13;Chris;chris@gmail.com;Test;"C'est bon!"
14;Chris;chris@gmail.com;Test;"C'est bon!"
15;;;;
16;;;;
17;;;;
18;s;s;s;s
19;s;s@gmail.com;s;s
